label,est,ci_l,ci_u
nclcas130groinc185new1_twfenov,.95380002,-.54873598,2.456336
nclcas100groinc130new1_twfenov,3.8929999,.041599821,7.7444
nclcas50groinc100new1_twfenov,42.77,14.4872,71.052803
nclcas0groinc50new1_twfenov,15.88,-14.460799,46.220798
nclcasnogroincnew1_twfenov,-125,-236.66121,-13.338798
nclcas1monchunew1_twfenov,10.75,-5.4356809,26.93568
nclcas50pbennew1_twfenov,-7.5279999,-63.780003,48.724003
nclcasmaxbennew1_twfenov,-77.839996,-157.23959,1.5596004
nclcasdisclinew1_twfenov,21.41,9.5088797,33.311119
nclcasabaclinew1_twfenov,-79.739998,-141.6956,-17.784397
nclcasempclinew1_twfenov,3.8269999,-45.486599,53.140598
nclcassglclinew1_twfenov,-2.7320001,-41.579201,36.1152
nclcasblahisclinew1_twfenov,25.790001,-69.230797,120.8108
nclcaswhiclinew1_twfenov,-32.720001,-80.1716,14.731597
nclage5casnew1_twfenov,-14.15,-52.2328,23.9328
nclage65pcasnew1_twfenov,5.6690001,-9.8659601,21.20396
nclnew4_twfenov,309.39999,8.3439817,610.45599
nclnew1_twfenov,-88.010002,-210.5296,34.509594
