label,est,ci_l,ci_u
nclcas130groinc185new1_twfenov,.2974,-.05735999,.65215999
nclcas100groinc130new1_twfenov,.91009998,-.71885598,2.5390561
nclcas50groinc100new1_twfenov,7.1230001,1.8035601,12.44244
nclcas0groinc50new1_twfenov,8.2539997,4.4457197,12.06228
nclcasnogroincnew1_twfenov,16.76,-1.7502402,35.270241
nclcas34monchunew1_twfenov,.37830001,-.56583202,1.322432
nclcas1monchunew1_twfenov,2.6719999,1.2245399,4.1194601
nclcas50pbennew1_twfenov,9.6099997,-.46440008,19.684399
nclcasmaxbennew1_twfenov,17.24,5.4858794,28.99412
nclcasdisclinew1_twfenov,2.141,.34387606,3.9381239
nclcasabaclinew1_twfenov,14.63,4.9084001,24.351601
nclcasempclinew1_twfenov,12.08,.41407964,23.74592
nclcassglclinew1_twfenov,7.684,.36731994,15.00068
nclcasblahisclinew1_twfenov,19.75,7.2491202,32.250881
nclcaswhiclinew1_twfenov,22.719999,3.5707984,41.869202
nclage5casnew1_twfenov,12.76,3.1324799,22.38752
nclage65pcasnew1_twfenov,.50019997,-.53899205,1.539392
nclnew1_twfenov,35.860001,12.4968,59.223202
