label,est,ci_l,ci_u
nclcas130groinc185new1_twfenov,.4747,-1.0695839,2.0189838
nclcas100groinc130new1_twfenov,5.7930002,.011000128,11.575001
nclcas50groinc100new1_twfenov,47.610001,18.210001,77.010002
nclcas0groinc50new1_twfenov,59.189999,27.143997,91.236
nclcasnogroincnew1_twfenov,154.2,65.725601,242.67439
nclcas1monchunew1_twfenov,28.75,12.507481,44.992519
nclcas50pbennew1_twfenov,98.099998,55.7052,140.4948
nclcasmaxbennew1_twfenov,135.10001,76.711601,193.4884
nclcasdisclinew1_twfenov,36.66,14.903999,58.416
nclcasabaclinew1_twfenov,92.949997,54.651596,131.2484
nclcasempclinew1_twfenov,93.43,37.354401,149.5056
nclcassglclinew1_twfenov,97.360001,46.889999,147.83
nclcasblahisclinew1_twfenov,255.10001,134.95201,375.24802
nclcaswhiclinew1_twfenov,63.169998,13.033198,113.3068
nclage5casnew1_twfenov,94.93,48.615204,141.2448
nclage65pcasnew1_twfenov,15.23,3.9168799,26.543119
nclnew4_twfenov,595.09998,333.24396,856.95599
nclnew1_twfenov,294.20001,175.16922,413.2308
